time,T_h_model,T_h_meas,T_h_assim,T_c_model,T_c_meas,T_c_assim,mdot_model,mdot_assim,dP_pump_mean
79.0,306.881425686862,306.7454344240413,306.88235759858946,300.0415305562193,300.76147949171644,300.0425197267727,273.35772342675534,273.35772339355196,135808.10544274587
79.5,306.8245857588523,306.9296356275028,306.8245418356198,300.0961667794689,299.91697356607733,300.09611030769486,274.7106686108552,274.7106686152067,135302.0051911919
80.0,306.76783752514524,307.14404168565636,306.7690312207566,300.14864668126245,300.0917681414782,300.1496508647406,276.0585527205809,276.05855273631136,134795.9574129723
80.5,306.7133786784158,306.67622036283984,306.71485197861506,300.20098000163284,300.96514231005517,300.2023515556948,277.40137662208656,277.4013765857785,134289.98245693542
81.0,306.6602374352117,306.53665733629333,306.6602778178066,300.2530330655781,300.5953904736646,300.25314644475077,278.7391405957545,278.739140567384,133784.10047557965
81.5,306.6066961888988,307.01053618727985,306.60677447121174,300.30300886273375,299.86686019216734,300.3029750149818,280.07184501694036,280.0718450388082,133278.33170113957
82.0,306.5542129197025,306.8434183061566,306.55471845231807,300.3512161024762,300.34355238583805,300.3516263110678,281.3994943532659,281.39949433188195,132772.696304398
82.5,306.50315538844023,306.68080098299936,306.50238718527487,300.3994463513065,299.7450867801993,300.3986979355584,282.7220869986943,282.72208704096545,132267.21286169227
83.0,306.45181908282206,306.9455682620616,306.4529527432332,300.44600320367704,300.6754951137116,300.44698036097674,284.03962619012646,284.0396261422223,131761.90204550375
83.5,306.4033703214431,307.19933227491106,306.40467198490495,300.4928479824715,300.5231446953582,300.49393416520127,285.35211348763573,285.3521134406325,131256.78277627096
84.0,306.3560541941764,305.3449279260812,306.3542316323621,300.5394846046239,300.7116839948876,300.53798230455664,286.6595510797098,286.6595511408422,130751.87433341883
84.5,306.3065817469941,306.07700983110334,306.3068288656879,300.5823631754409,301.0112562764225,300.5826380309445,287.96194037736046,287.9619403346206,130247.19575578113
85.0,306.26012569642035,305.6549747852665,306.2585559720823,300.6258172969978,300.3476039913869,300.6244618205572,289.2592848625052,289.2592849141112,129742.76642589808
85.5,306.2127845555251,306.49935923796136,306.2135728881002,300.66735935882645,301.0076087914329,300.6680358187955,290.5515871831038,290.5515871367884,129238.60455407728
86.0,306.16872394396347,305.74672014762075,306.168601353807,300.709830658119,301.0757502092025,300.7097713406313,291.8388501278078,291.83885011176767,128734.7288924677
86.5,306.12466070582076,306.28917381246515,306.12450122852727,300.7509701254881,300.7241349869217,300.7508161359277,293.1210770680584,293.12107707671794,128231.15777154373
87.0,306.08145849613027,305.71934322830464,306.08108123417384,300.7912833858383,300.69554709768926,300.79097534367827,294.398269400369,294.3982694036438,127727.90937902051
87.5,306.03892561893144,305.168898922965,306.0382423565215,300.83106462842983,300.968365843511,300.83051078924046,295.6704324629045,295.67043245678286,127225.00254570533
88.0,305.99696803000444,306.94996650175534,305.9978416854184,300.86934703531324,300.28559682076747,300.8700298723481,296.93756994469464,296.9375700017303,126722.45443973114
88.5,305.9574239721721,304.96666079427945,305.9566651206416,300.90812557471804,301.55112629819206,300.90755598732454,298.19968533612314,298.19968527443314,126220.28276056066
89.0,305.91709726863206,307.0811295558384,305.9191185804879,300.94493222919044,300.71612252855334,300.94663562246416,299.4567819853717,299.45678213805763,125718.50532367108
89.5,305.8803806789092,305.391648249328,305.87916732524195,300.98320905052896,300.60976083161626,300.98213514289665,300.708863423975,300.7088634081511,125217.13960195406
90.0,305.84125256187417,305.60612889261864,305.8406279008092,301.01798644845877,300.75720211863626,301.0174340785554,301.9559351538252,301.9559351403999,124716.20339307374
90.5,305.8035225864746,305.51663795466277,305.8019712559664,301.0526527669731,300.48961036527265,301.05123749260963,303.19800076413304,303.1980007263327,124215.7131027032
91.0,305.7656648927289,306.73832899811396,305.7675858868921,301.08597145781613,301.380825858317,301.08768306719264,304.4350672222557,304.43506729449456,123715.686105144
91.5,305.73206384611416,304.96338614826004,305.73049815224624,301.1216173403673,300.91298301933773,301.1202375362343,305.66713577615246,305.66713576227414,123216.13817124872
92.0,305.6957521800799,305.4596443709525,305.6959015003468,301.1533321960502,301.54953869056953,301.1535032033519,306.8942135404363,306.8942135431917,122717.08748121621
92.5,305.66191399841335,305.36885147023577,305.6614490065503,301.18587943568014,301.2086647257266,301.1854594070061,308.11630517440176,308.1163051787029,122218.54949253365
93.0,305.62820702339326,305.85354761630947,305.6285280159064,301.21698417582377,301.24082088110214,301.2172688467939,309.33341521119286,309.33341521791226,121720.54072364181
93.5,305.5960148084111,305.9324283285324,305.59731261937634,301.248040492796,301.84426824993346,301.2492439096766,310.5455508072666,310.545550894903,121223.07759301997
94.0,305.5655132354519,305.7453646476427,305.56657683751024,301.2797915267203,301.7702892120841,301.28078568897826,311.7527173074136,311.7527173995935,120726.17532020017
94.5,305.5354857713868,306.14009900638206,305.5369089928891,301.31044043214143,301.56286869161346,301.3117480444691,312.95491840746945,312.95491849562217,120229.84985702514
95.0,305.5065090335918,304.86294640267346,305.50536265615,301.34084249197895,301.06317338099757,301.33980232743926,314.15216047366584,314.15216031761094,119734.11764513692
95.5,305.47564595305465,305.3880468507759,305.47497526843097,301.3683442174754,301.1360721878344,301.36772282432474,315.34445195629957,315.34445186950967,119238.9940521278
96.0,305.44592959061185,305.27181302605766,305.4460912209857,301.3958379596753,301.86565775221237,301.3960106147635,316.531797071842,316.53179711195736,118744.49315060815
96.5,305.41770654206374,306.0439025231192,305.41957226788736,301.4230152594786,301.9807342335953,301.42472571175773,317.7142029859604,317.7142032280883,118250.63099734146
97.0,305.39182557907213,304.54634612528133,305.39063071347687,301.45183739351796,301.7903504037623,301.4507833105822,318.8916782752319,318.89167818364746,117757.42221076155
97.5,305.3635257716865,305.06236270777083,305.3627603270533,301.4769667334581,301.27066197743227,301.4762648687826,320.064225326691,320.0642252511524,117264.88097424361
98.0,305.3362782048781,305.7562966431893,305.33677766928906,301.502005484676,301.3904199221898,301.5024425751137,321.231853331709,321.23185337169724,116773.02333207436
98.5,305.31090642656613,305.2992954438106,305.310394021239,301.5273633866451,301.4145545674707,301.52687280771704,322.3945687120911,322.3945686568527,116281.8628525223
99.0,305.28511897247176,305.4959183723577,305.2864391408164,301.55124135874433,302.2313971970504,301.55253220343184,323.5523776870822,323.55237784324953,115791.41418459553
99.5,305.26174770311945,305.3822777477326,305.26159482000867,301.5767136847937,301.1436762888571,301.57654400297145,324.7052901895433,324.7052901641033,115301.69161166443
100.0,305.2374813309824,305.79720453537965,305.2367779509607,301.60044989554257,300.4865893180952,301.5997004298513,325.853311485802,325.85331136351965,114812.70825331222
100.5,305.21323454897833,305.4857539953884,305.21241900927265,301.62283075296136,300.91979145469213,301.6219828216605,326.99644974460085,326.99644959334256,114324.47860036237
101.0,305.1894303006952,304.8995627278299,305.1893322879757,301.6442845309597,301.98429781652817,301.64421138457357,328.1347114379413,328.1347114228647,113837.01601733983
101.5,305.16688271246005,304.9879248900185,305.16666083500166,301.6663490977993,301.6324154202044,301.66613896210043,329.2681075054139,329.2681074606194,113350.33443742992
102.0,305.1447446101053,305.10872086423603,305.14454557672104,301.6875219512428,301.66032820410555,301.68733076684384,330.3966437379932,330.39664370772584,112864.44595858888
102.5,305.1231472539475,304.379735920168,305.1225248148991,301.708197726875,301.99392071196326,301.70761643313386,331.52032936045856,331.52032924232276,112379.36454256227
103.0,305.1016335230608,305.4183977363138,305.10165690372554,301.7281683636483,301.732398137093,301.72818078876827,332.6391698877503,332.6391698931334,111895.10272529846
103.5,305.081263674713,305.64217771959636,305.0817531101177,301.7483050424223,301.6042781958623,301.7487627757972,333.7531768108593,333.7531768854799,111411.67433709
104.0,305.0618475902014,305.22395543854014,305.06170463462064,301.7682578869551,301.42527877194624,301.76810463312455,334.8623568682292,334.8623568590137,110929.09077087654
104.5,305.042273787382,305.55394108890465,305.04327362476414,301.78726545220843,301.69794958894755,301.7881918932445,335.9667189289451,335.96671901285214,110447.36529351166
105.0,305.0243079540053,304.75617927912816,305.024420445865,301.80715914494607,301.9869970196497,301.80728553269694,337.066272238187,337.0662722391585,109966.50995658414
105.5,305.00591534795507,304.39377721627767,305.0055739228686,301.8255268797856,302.00336401199206,301.8252238486171,338.1610241262323,338.16102406112145,109486.53683548259
106.0,304.987514686683,304.20181012299264,304.986561289876,301.84328901198955,302.0411887290415,301.8423983626698,339.25098417012555,339.2509839802897,109007.4584968544
106.5,304.9689425572471,305.6201285167914,304.96888417424816,301.8600680482605,301.3454288575809,301.8599771134728,340.3361615777351,340.33616163469895,108529.28653617337
107.0,304.9516947851637,304.4800251022636,304.95009111885037,301.87746775719813,301.11111674686845,301.8758934996653,341.4165655199067,341.41656535407594,108052.0323784099
107.5,304.93332630494524,304.8654035990236,304.93242032592593,301.8925137395073,301.26330364425456,301.8915945392982,342.4922058718751,342.4922058144621,107575.70791550519
108.0,304.91606165508085,305.18975926155616,304.91522772634517,301.9080667754079,301.00856564014435,301.90718390308894,343.56309100118875,343.5630908667618,107100.32389672562
108.5,304.8992693703894,305.33250417791237,304.90003447025106,301.9232468269983,301.57088345747957,301.9239767781198,344.6292314096673,344.62923152262715,106625.89221036222
109.0,304.88446693219373,304.6780172577051,304.88400959140887,301.93970701765664,302.04896431464135,301.93925393063,345.690637650659,345.69063760332705,106152.4232377988
109.5,304.86882515402357,305.33355206367855,304.86904821934445,301.9547658691747,301.6307855965466,301.95495458494804,346.74731672582004,346.7473168059961,105679.92777636967
110.0,304.85423979762453,305.38570552042074,304.85467724207433,301.9704112052969,301.6287380692643,301.97079028201506,347.79928162844425,347.7992817546636,105208.41746332131
110.5,304.84024083711887,304.0437872304719,304.8391602377029,301.98521317254455,301.90946207035716,301.9841811475715,348.8465387865035,348.84653850662806,104737.90163000351
111.0,304.8250770447607,304.78038727623334,304.8257127535755,301.99857176162345,302.51537901305994,301.9992350063543,349.88909985569836,349.8890999655204,104268.39243530884
111.5,304.8119793515362,305.3987917282713,304.8123889840955,302.0129803406485,301.70852070278727,302.0133492792107,350.9269764793556,350.9269766304617,103799.89886610674
112.0,304.7989903427531,304.74750046701183,304.7988899961203,302.0270664055285,301.80382300423275,302.0269630088961,351.96017920953557,351.96017918933853,103332.43087345529
112.5,304.78582388587705,304.6995129571794,304.7864965375943,302.04057997017657,302.8079259530764,302.0412928031664,352.98871580404096,352.98871592514683,102865.99821357024
113.0,304.773759526249,304.6070501272912,304.77293765637904,302.0544989276737,301.5125499803419,302.0536761957514,354.0125971036566,354.01259689921176,102400.61162224307
113.5,304.760519301526,304.8613745819572,304.7605002293774,302.06660442254326,302.1137487278544,302.0665841343987,355.03183441227173,355.0318344079816,101936.28092841672
114.0,304.7483932164439,304.9334693026259,304.7476173625156,302.07920657499403,301.4009856144183,302.0784133866402,356.0464398703913,356.0464397315051,101473.01483765342
114.5,304.73581361960265,304.8129206620537,304.73638543878764,302.0904793269055,302.33225621431126,302.091060318699,357.05642059366704,357.0564207176776,101010.82240410913
115.0,304.7248732085507,304.94697331002595,304.72534890170874,302.10318899412965,302.3201242562125,302.1036604115075,358.0617895281581,358.06178962501394,100549.7141403724
115.5,304.71412686378994,305.0226931925193,304.715234700312,302.1157428449748,302.9720544550567,302.11684238956417,359.06255859116834,359.06255874141027,100089.69844276446
116.0,304.70429971644006,304.5946224510674,304.7034645834837,302.1284752129703,301.7266497104246,302.12763584271863,360.0587377496397,360.05873767752195,99630.78358089438
116.5,304.69280638695403,305.2204703751738,304.693323779544,302.1394220783936,301.96267996763265,302.13992518528653,361.05033761521634,361.05033769034924,99172.97894328236
117.0,304.68294279402204,304.59239169264384,304.6827811976962,302.1508695187876,302.09873760342646,302.15071463942206,362.03736998493457,362.03736996218765,98716.2930578072
117.5,304.6726603475439,304.0753434744592,304.67176441505507,302.161757175203,302.2155012673507,302.1609046953046,363.0198462906179,363.01984619857865,98260.73437921202
118.0,304.6619041053047,304.25829493078714,304.6617879765767,302.17165288069594,302.69141287878267,302.1715592310383,363.9977768418114,363.9977768213729,97806.31101312203
118.5,304.652180375933,304.9272709259984,304.6527729052597,302.18197236325443,302.3917878687417,302.1825440656936,364.9711742359917,364.9711742630734,97353.03155241148
119.0,304.64340907495983,305.4369695380373,304.6451273344003,302.19282021608717,302.83399216889546,302.19447084089006,365.9400514226482,365.9400514914654,96900.90355220907
119.5,304.63600195194266,304.38992848029915,304.63491468693337,302.2045460416126,301.3857636136625,302.2034918322435,366.90441654288117,366.9044165929092,96449.93420806507
120.0,304.62602398344734,304.1559512052526,304.625833734364,302.2130797959994,302.4806270972928,302.21291376746717,367.86428380159373,367.86428377934516,96000.13288301729
120.5,304.6171666663057,304.8445809420567,304.61822225820737,302.22273843934903,302.9950762664797,302.2237407056166,368.8196641082128,368.81966404106555,95551.5059818199
121.0,304.6097799498327,304.0924686413562,304.6106192576159,302.2331447504381,303.5384718643088,302.23395746572265,369.77056976393555,369.77056966278667,95104.06130421087
121.5,304.60239256409625,304.51517716145565,304.6023977762485,302.24302478944423,302.4152660050077,302.243032808056,370.71701166172375,370.7170116570674,94657.80593935015
122.0,304.5943792254417,304.86072781168457,304.5946170040423,302.25224688525753,302.3704564812047,302.252464474176,371.65900019814586,371.6590001863162,94212.74746831987
122.5,304.5868071863797,305.39523328445773,304.5886127716396,302.2611018590667,303.16159438795245,302.26278577816623,372.59655111257075,372.59655094625623,93768.89377162204
123.0,304.58099730156033,304.1816048871549,304.5811073810148,302.2715755158884,302.69044735597737,302.2716966676649,373.52967447792287,373.52967445175966,93326.25001685097
123.5,304.57368999513176,304.05742162775584,304.5733075564948,302.28008235045274,302.3936616886425,302.2797395748653,374.45838473858305,374.45838471798953,92884.8237068049
124.0,304.56607955412665,304.38560764832727,304.5654786002679,302.28784038577373,301.86506777243585,302.28726310015963,375.38269190898086,375.38269192038643,92444.6205853978
124.5,304.55843275262157,304.53929301219205,304.55864793170906,302.29536319156017,302.6615177065717,302.2955758494679,376.302608206404,376.30260821499445,92005.64811126312
125.0,304.5517822210672,304.8362845594723,304.5525632736412,302.3034843712949,302.6490131096346,302.30420811140533,377.2181451853696,377.2181451954472,91567.91270379638
125.5,304.5458715411534,305.5015100032182,304.5478577198979,302.312076837996,303.4996222201375,302.3139293794843,378.1293156823885,378.12931569392526,91131.42094810818
126.0,304.54133631587877,304.45602006786726,304.5414438444024,302.32152241262025,303.0066962707299,302.3216425068213,379.0361356068045,379.03613560658835,90696.17873702903
126.5,304.53508888407646,304.6228664865753,304.5352840486319,302.32925634162217,302.18352875623543,302.3294293399898,379.9386145048552,379.93861449865517,90262.19039155278
127.0,304.5290938652569,304.9184512465393,304.53003752282655,302.3369552063066,303.06106918682343,302.33785188021784,380.8367651868764,380.8367650689125,89829.46315655523
127.5,304.5240085641128,304.4395793452623,304.5235336765642,302.34523883224364,302.0444816605699,302.3447818205213,381.73060005528276,381.7306001407041,89398.00267903134
128.0,304.5176631496005,305.1835130621081,304.51766887942074,302.3515732585952,301.7913541229383,302.35152380866094,382.62013199938434,382.6201319916817,88967.81444403813
128.5,304.5119426294908,305.35938227685136,304.5136734147622,302.35843088722095,303.123822073933,302.36007956841934,383.5053739639506,383.50537372438316,88538.90409816544
129.0,304.50809195983203,305.5565946094934,304.50924765485775,302.3673381499793,302.64409979191646,302.3684108907528,384.38633817970526,384.38633821036603,88111.27678982182
129.5,304.5038165203487,304.70732700313755,304.5049581782862,302.37502735622763,303.45043782705284,302.3761375731785,385.2630381850029,385.2630382059376,87684.93767757594
