time,T_h,T_c,mdot,dP_pump,dP_loss
6.2,320.21196162793046,289.3409412745883,24.637070975471794,197232.8002693276,0.06069852662504347
6.300000000000001,320.211498769878,289.33416034138935,25.031536454613395,197183.55744589935,0.06265778172786393
6.4,320.2109125547959,289.32750298562866,25.42590344418963,197134.1713726044,0.0646476565953254
6.5,320.2102030260414,289.3209692226904,25.820171657639523,197084.64220202106,0.06666812644299713
6.6000000000000005,320.20937022999254,289.3145590649174,26.214340808707313,197034.97008711172,0.06871916640350575
6.7,320.2084142160444,289.30827252161316,26.608410611443205,196985.1551812221,0.07080075152671633
6.800000000000001,320.2073350366057,289.30210959904423,27.002380780204145,196935.19763808002,0.07291285677991383
6.9,320.2061327470949,289.29607030044235,27.396251029654593,196885.09761179463,0.07505545704798504
7.0,320.20480740593644,289.29015462600694,27.790021074767267,196834.85525685525,0.07722852713360089
7.1000000000000005,320.20335907455654,289.2843625729078,28.183690630823925,196784.47072813063,0.07943204175739922
7.2,320.2017878173792,289.2786941352877,28.5772594134161,196733.94418086755,0.08166597555816792
7.300000000000001,320.2000937018219,289.27314930426536,28.970727138445884,196683.27577069026,0.08393030309302849
7.4,320.1982767982911,289.26772806793815,29.36409352212666,196632.4656535992,0.0862249988376201
7.5,320.19633718017786,289.26243041138554,29.75735828098386,196581.5139859702,0.08855003718628386
7.6000000000000005,320.19427492385324,289.257256316672,30.150521131855726,196530.42092455318,0.09090539245224787
7.7,320.19209010866336,289.2522057628505,30.54358179189405,196479.18662647152,0.09329103886781218
7.800000000000001,320.1897828169247,289.24727872596594,30.936539978564912,196427.81124922083,0.09570695058453452
7.9,320.1873531339191,289.2424751790587,31.329395409649454,196376.29495066797,0.09815310167341643
8.0,320.18480114788844,289.2377950921685,31.722147803244585,196324.6378890501,0.10062946612508954
8.1,320.1821269500296,289.2332384323378,32.11479687776375,196272.8402229736,0.10313601785000245
8.200000000000001,320.1793306344891,289.2288051636164,32.507342351937666,196220.90211141322,0.10567273067860804
8.3,320.1764122983574,289.224495247065,32.899783944815034,196168.82371371074,0.10823957836155092
8.4,320.1733720416636,289.2203086407596,33.2921213757633,196116.6051895744,0.11083653456985558
8.5,320.1702099673695,289.21624529979573,33.68435436446938,196064.24669907748,0.11346357289511473
8.6,320.16692618136386,289.21230517629306,34.07648263094039,196011.74840265757,0.11612066684967821
8.700000000000001,320.16352079245644,289.20848821939984,34.46850589550437,195959.11046111534,0.11880778986684196
8.8,320.1599939123719,289.2047943752975,34.86042387881102,195906.3330356137,0.12152491530103776
8.9,320.15634565574356,289.2012235872056,35.25223630183242,195853.41628767666,0.12427201642802314
9.0,320.15257614010727,289.19777579538675,35.64394288586374,195800.36037918826,0.1270490664450716
9.1,320.1486854858948,289.19445093715154,36.03554335252398,195747.16547239176,0.12985603847116353
9.200000000000001,320.1446738164274,289.19124894686377,36.42703742375669,195693.83172988845,0.13269290554717703
9.3,320.1405412579091,289.1881697559457,36.818424821830654,195640.35931463653,0.13555964063607956
9.4,320.1362879394199,289.1852132928835,37.209705269340645,195586.7483899503,0.13845621662311972
9.5,320.13191399290906,289.18237948323264,37.600878489208114,195532.9991194991,0.14138260631601937
9.600000000000001,320.12741955318796,289.1796682496238,37.9919442046819,195479.111667306,0.14433878244516626
9.700000000000001,320.12280475792295,289.1770795117682,38.382902139338945,195425.0861977471,0.14732471766380703
9.8,320.1180697476283,289.1746131864639,38.773752017085,195370.9228755503,0.15034038454824034
9.9,320.1132146656586,289.1722691876014,39.164493562155336,195316.6218657944,0.15338575559801068
10.0,320.1082396582016,289.17004742616996,39.55512649911542,195262.18333390795,0.15646080323610226
10.100000000000001,320.1031448742706,289.1679478102638,39.94565055286163,195207.60744566817,0.15956549980913345
10.200000000000001,320.09793046569644,289.1659702450883,40.336065448621966,195152.89436720003,0.16269981758755148
10.3,320.09259658712017,289.16411463296663,40.72637091195673,195098.04426497518,0.16586372876582753
10.4,320.0871433959849,289.1623808733461,41.11656666875922,195043.0573058108,0.16905720546265218
10.5,320.081571052528,289.1607688628049,41.50665244525643,194987.9336568687,0.17228021972113117
10.600000000000001,320.0758797197727,289.159278495059,41.896627968009724,194932.67348565412,0.1755327435089815
10.700000000000001,320.07006956352006,289.15790966096887,42.28649296391555,194877.2769600148,0.17881474871872796
10.8,320.06414075234073,289.1566622485465,42.67624716020608,194821.7442481399,0.1821262071678998
10.9,320.0580934575663,289.15553614296266,43.06589028444995,194766.07551855888,0.18546709059922806
11.0,320.051927853281,289.1545312265539,43.455422064552884,194710.2709401405,0.18883737068084297
11.100000000000001,320.0456441163127,289.1536473788301,43.844842228758424,194654.3306820918,0.1922370190064718
11.200000000000001,320.0392424262247,289.15288447648174,44.23415050564857,194598.25491395695,0.19566600709563697
11.3,320.03272296530633,289.1522423933876,44.623346624144475,194542.04380561627,0.19912430639385464
11.4,320.0260859185644,289.1517210006223,45.012430313507096,194485.6975272851,0.20261188827283325
11.5,320.0193314737138,289.151320166464,45.40140130333789,194429.21624951286,0.20612872403067317
11.600000000000001,320.0124598211687,289.1510397564026,45.79025932357947,194372.60014318174,0.20967478489206567
11.700000000000001,320.005471154033,289.1508796331473,46.17900410451627,194315.8493795059,0.21325004200849304
11.8,319.99836566809097,289.150839656635,46.56763537677519,194258.96413003033,0.21685446645842846
11.9,319.9911435617981,289.15091968403834,46.956152871326324,194201.9445666297,0.22048802924753677
12.0,319.98380503627106,289.15111956977404,47.34455631948352,194144.79086150727,0.2241507013088747
12.100000000000001,319.97635029527845,289.1514391655113,47.73284545290514,194087.50318719403,0.22784245350309268
12.200000000000001,319.96877954523075,289.1518783201803,48.12102000359462,194030.08171654734,0.23156325661863542
12.3,319.9610929951706,289.15243687998077,48.50907970390121,193972.52662275019,0.23531308137194404
