time,T_h_model,T_h_meas,T_h_assim,T_c_model,T_c_meas,T_c_assim,mdot_model,mdot_assim,dP_pump_mean
46.0,313.3962286479151,313.6631936868337,313.3971423340743,295.4223291308701,295.0662781863035,295.42180458597284,173.02862759602655,173.02862758341564,168185.45643664873
46.5,313.277344218744,312.77551605200466,313.27594222255556,295.53275894604377,295.82873711449025,295.53352322094366,174.7058743224375,174.70587433337857,167727.68425995822
47.0,313.15667126704693,314.1697024414207,313.160848443901,295.6441278299252,295.9928073713366,295.6467833614651,176.3785271435636,176.3785271174976,167268.341303367
47.5,313.04210747946223,313.46670610939276,313.04396251316996,295.75707268328836,295.51473228166435,295.75715783254515,178.0465705316132,178.04657049777308,166807.4548741813
48.0,312.92578398447307,313.40917358079616,312.927966781915,295.8676522234956,295.77122920526097,295.86830618652687,179.70998951808988,179.70998947959427,166345.05231721344
48.5,312.8103914963243,312.93614086667526,312.8109398534973,295.97817082680484,296.05229224728333,295.9787732940833,181.368768779321,181.36876877643002,165881.16089266262
49.0,312.69401267297656,313.5238215282077,312.6966486672855,296.0878895161332,296.1944890547339,296.0895890115597,183.0228941975656,183.02289417617132,165415.80797861793
49.5,312.5803893469037,313.0272310206427,312.58135050879315,296.19833052969267,295.7976925657605,296.1971001804084,184.67235092994997,184.67235088724047,164949.02068607186
50.0,312.4657788932252,313.17330850032846,312.4684840437651,296.30520384931276,296.0421115443437,296.30580363264386,186.3171251229008,186.31712510992614,164480.8263201659
50.5,312.3536291220672,311.19785905152884,312.34885227059004,296.41366612929653,296.16766353922384,296.4106664804538,187.95720276804747,187.9572027481946,164011.25193439348
51.0,312.234781715406,312.5082764615713,312.2344836602317,296.5179833090069,295.6508300122131,296.51525026170975,189.59257043774872,189.5925703332433,163540.32469271755
51.5,312.1211854527629,312.5540680278073,312.12264218863754,296.6221337909819,296.2609097094381,296.62186249845865,191.22321488007972,191.22321484723267,163068.07160389278
52.0,312.0101510281036,311.9514597154054,312.00719818794295,296.7277006619426,295.6805244386101,296.7227361064119,192.84912389254237,192.8491237702844,162594.51956702129
52.5,311.895532717672,312.1802138635653,311.8964793107336,296.8282577493219,296.93048960115993,296.82865293327717,194.47028373344955,194.47028374767606,162119.69535348832
53.0,311.785681372894,312.44146572277646,311.7869460824996,296.9340314686668,296.72736498449166,296.9339796284044,196.0866821111563,196.08668210464413,161643.62599478156
53.5,311.6770369226448,311.50587304398084,311.67721276411356,297.0379705837297,297.68461096073673,297.0398180455819,197.6983070461064,197.69830706967147,161166.33834013168
54.0,311.56823764203966,311.38979692951284,311.56644247235045,297.1433113933841,296.3993581782711,297.14042257750737,199.305146485546,199.30514646399646,160687.8589839258
54.5,311.4583977576634,311.40597575836944,311.45733733904433,297.24342535474625,297.11975534490773,297.24248252666644,200.9071891409649,200.90718914062333,160208.21465008278
55.0,311.3502582985391,311.12392276003317,311.35001399360027,297.3444168768364,297.27722923028415,297.3442739119865,202.50442356904023,202.50442357323493,159727.43176174455
55.5,311.24391706321734,311.6030207604352,311.2457366136682,297.44501071989345,297.85892866114955,297.44679931817734,204.0968379903712,204.09683796338675,159245.53685931241
56.0,311.1406349259196,311.39402696812846,311.1412873688741,297.54662639426994,297.5449676234049,297.54707020607896,205.68442184391262,205.68442182795295,158762.55657033485
56.5,311.037195719722,311.6225754862312,311.03794436301075,297.6462581636848,296.9715638490082,297.64535676755577,207.267164999206,207.2671649832535,158278.51712585505
57.0,310.9348664655903,311.55524517703566,310.9359903064885,297.7447033001892,297.2581465205469,297.7449018251207,208.84505614239308,208.84505614824556,157793.44466157703
57.5,310.83395991147506,311.8216497386482,310.83663886707956,297.84278203854467,297.923397548664,297.8446132982143,210.41808642227087,210.41808641747858,157307.36564639353
58.0,310.7356652948489,310.7186684999814,310.73433988313286,297.9415328339517,297.41548723073925,297.9397732873378,211.98624530441148,211.9862453590732,156820.30581245536
58.5,310.6344405621647,310.97793805656823,310.63569067856304,298.0356075607774,297.82222196680567,298.0362870012655,213.54952334878257,213.54952333338903,156332.29135337408
59.0,310.5368751317985,311.3634237528923,310.5386991504904,298.1314106739869,297.6372211628336,298.1318847294467,215.10791141332356,215.10791139953565,155843.34820870226
59.5,310.4409732393428,310.68418493854597,310.4400368577273,298.2264017543171,297.45670616439935,298.22490019458326,216.66140011373244,216.66140016980341,155353.50208671117
60.0,310.3434237128065,308.88913790393406,310.33999789819353,298.3182377001415,298.9270390485315,298.3166312744317,218.2099812993387,218.20998137258366,154862.7788212498
60.5,310.24453125355706,310.9856501206609,310.2475495715812,298.40889962757416,298.83413503715025,298.4115997619606,219.7536457702884,219.7536456651528,154371.20387742997
61.0,310.1532142012661,310.74299640217936,310.1548912696642,298.5028442041784,298.2551979453377,298.5038131302189,221.2923855445528,221.2923855031921,153878.80304192196
61.5,310.0616908116196,310.3529135725128,310.0642959421625,298.5948322029479,299.1002999857364,298.5972444949741,222.8261923421445,222.82619217830347,153385.6015088341
62.0,309.97225225740135,310.73820893738906,309.9742939400705,298.6867455076644,298.5202434496194,298.68801234818943,224.35505929856276,224.3550592616113,152891.62482182856
62.5,309.8834015070144,309.6352008058852,309.882945698444,298.77661699895475,298.7251197974743,298.77625819110006,225.878978235224,225.87897824336443,152396.8977656983
63.0,309.79322162286604,310.2120317904277,309.793622464537,298.8636531438108,298.26768554869506,298.86341886762256,227.3979417420435,227.39794179066155,151901.44576953037
63.5,309.70506146018556,310.37780799557703,309.7076237189669,298.94997798867155,299.52194656409665,298.95232583115325,228.91194255891878,228.9119424960948,151405.2938556193
64.0,309.6202371980988,310.0176253672715,309.6212541332799,299.0378969970507,299.1292704807529,299.0388518710456,230.42097481926993,230.4209748115909,150908.4670417228
64.5,309.5350480467367,308.60342213543,309.5334412572879,299.12341498583964,299.7223641325173,299.12272077809394,231.92503113392115,231.92503102458298,150410.98970227898
65.0,309.44843020949384,309.39675762898895,309.44844440583654,299.2059844493476,299.3618753094856,299.206169565039,233.42410612372717,233.42410609048162,149912.8868896648
65.5,309.36461899909636,309.773405735673,309.3658388143211,299.28886434004886,299.2786066231765,299.2899136737117,234.91819313099552,234.9181931024324,149414.18273888162
66.0,309.2832021936402,309.8673474037847,309.28411848158817,299.3713496989566,298.87932103783146,299.3717298089754,236.40728691604437,236.40728694442743,148914.9019645009
66.5,309.2026647216395,309.9314076535885,309.2043717631388,299.45179727759415,299.4648743580665,299.4531254084855,237.89138163613833,237.89138160006095,148415.0686453448
67.0,309.12409917547075,309.692964047039,309.1244991480191,299.53212953684385,298.7812356099713,299.5319996294235,239.3704724581014,239.37047249721454,147914.70712020097
67.5,309.04540537662274,309.43975685756357,309.0464398597462,299.6105346332231,299.69998073359943,299.61141641281165,240.84455405929538,240.8445540399675,147413.84119850866
68.0,308.96853544473754,309.03575844243477,308.9683754645719,299.6883954738969,299.27388580986144,299.6880268346307,242.31362108574606,242.31362112449864,146912.4949906478
68.5,308.8916520061941,309.64472689886276,308.89148871524657,299.7645552235837,298.94468526025213,299.7639022555417,243.77766983271238,243.7776699221291,146410.6923963166
69.0,308.81594791300137,308.79081384876224,308.81556093537756,299.83910101572855,299.7852545340965,299.8387447194404,245.23669473902123,245.23669474460985,145908.45683145578
69.5,308.74120298418364,308.6909679691978,308.7410839938382,299.91256149871447,299.76329432052285,299.91239701897325,246.6906927168234,246.6906927339551,145405.8123009085
70.0,308.66790053426274,309.4365020940012,308.66901790965727,299.98549862627715,299.63909509047227,299.9862550325111,248.1396603428215,248.139660343323,144902.78178582515
70.5,308.59700530381144,308.7499562025134,308.59636562258873,300.0584253066539,299.51001980878993,300.05753319555754,249.58359302498238,249.58359311518655,144399.38844801782
71.0,308.5255222843945,308.90217385243477,308.52628737609336,300.1286893897995,300.0962636716924,300.1292863855102,251.0224874253972,251.02248742513683,143895.65571233782
71.5,308.456609858028,307.9916553819183,308.45522860631854,300.1994107339868,299.74550588369146,300.1980873745767,252.4563400646188,252.4563401261538,143391.6066609348
72.0,308.3867145092683,309.1638752947376,308.3879472082636,300.266807023715,299.86100563011325,300.2676989181884,253.88514919764762,253.88514920606957,142887.26415243847
72.5,308.3205809715413,308.1074248743794,308.3210564846075,300.33587213268675,300.5602236087487,300.33644235202587,255.30891122333452,255.30891119947393,142382.65058569892
